disease,cause,symptoms,treatment,prevention
Blight,"Happens due to nutrient imbalance and environmental stress, weakening plant immunity.",Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Disinfect tools before use and avoid working in wet conditions.
Blight,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,"White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Fusarium Wilt,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,"Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Blight,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Verticillium Wilt,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Use disease-resistant plant varieties and maintain garden hygiene.
Fusarium Wilt,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Use disease-resistant plant varieties and maintain garden hygiene.
Leaf Spot,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Blight,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,"Irregular lesions on leaves and stems, sometimes with concentric rings.",Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Use disease-resistant plant varieties and maintain garden hygiene.
Fusarium Wilt,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,"Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Powdery Mildew,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Fusarium Wilt,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,"White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Use disease-resistant plant varieties and maintain garden hygiene.
Anthracnose,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.","Irregular lesions on leaves and stems, sometimes with concentric rings.",Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
Bacterial Wilt,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.",Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Control insect vectors using neem oil or insecticides. Remove infected plants to prevent spread.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Blight,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,"Soft, mushy roots with foul smell. Plant shows wilting and slow growth.",Improve soil drainage and reduce watering frequency. Apply fungicides to affected soil.,Use disease-resistant plant varieties and maintain garden hygiene.
Verticillium Wilt,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.",Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Use disease-resistant plant varieties and maintain garden hygiene.
Root Rot,Triggered by bacterial pathogens present in contaminated soil or water. Often spreads through infected tools or insects.,Dark brown or black spots form on leaves with yellow halos. Severe infection leads to leaf drop.,Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Rotate crops and avoid planting the same species repeatedly in the same soil.
Rust,"Occurs because of overwatering and poorly drained soil, leading to fungal growth in roots.",Leaves turn yellow and wilt despite adequate watering. Growth becomes stunted.,Apply appropriate fungicides such as sulfur-based sprays. Remove infected parts and improve air circulation.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Verticillium Wilt,Develops due to viral infection transmitted by pests such as aphids or whiteflies.,"Irregular lesions on leaves and stems, sometimes with concentric rings.",Use copper-based bactericides and avoid overhead watering. Sanitize gardening tools regularly.,Ensure proper spacing between plants for airflow. Avoid excessive watering and monitor humidity levels.
Powdery Mildew,Caused by fungal infection due to high humidity and poor air circulation. The pathogen thrives in moist environments and spreads rapidly.,"White powdery patches appear on leaves, stems, and buds. Leaves may curl, turn yellow, and drop prematurely.",Use balanced fertilizers and maintain proper plant nutrition. Apply suitable pesticides if needed.,Regularly inspect plants for early signs of disease and remove infected leaves promptly.
